UTX,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
30-Sep-17,116.14,118.33,115.94,118.23,114.94,"11,808,400"
23-Sep-17,114.92,117.46,113.71,116.08,112.85,"22,595,400"
16-Sep-17,113.4,115.12,112.65,115.01,111.81,"16,201,900"
9-Sep-17,110.01,113.92,109.28,113.08,109.94,"26,972,900"
2-Sep-17,115.59,115.9,109.1,109.55,106.51,"32,964,500"
26-Aug-17,115.29,120.19,114.44,117.92,114.64,"20,890,800"
19-Aug-17,115.62,118.87,114.68,115.07,111.87,"17,100,300"
Dividend,0.7,,,,,
12-Aug-17,117.3,118.1,115.35,115.48,111.59,"13,059,500"
5-Aug-17,119.31,119.75,116.09,116.89,112.96,"16,175,300"
29-Jul-17,119.16,121.66,118.36,121.49,117.4,"9,899,800"
22-Jul-17,123.49,123.75,117.85,118.87,114.87,"17,883,200"
15-Jul-17,123.73,123.73,121.86,123.49,119.33,"9,739,000"
8-Jul-17,122.73,124.79,122.35,123.41,119.26,"10,850,900"
1-Jul-17,122.61,123.15,121.88,122.61,118.48,"7,715,300"
24-Jun-17,122.41,123.09,120.62,122.11,118,"9,917,600"
17-Jun-17,121.23,122.96,121,122.22,118.11,"15,677,400"
10-Jun-17,120.25,121.72,119.35,120.43,116.38,"13,678,800"
3-Jun-17,122.27,122.35,119.08,120.64,116.58,"13,651,600"
27-May-17,121.8,122.85,121,122.12,118.01,"12,396,300"
20-May-17,121.56,122.84,121.45,121.85,117.75,"12,860,900"
Dividend,0.66,,,,,
13-May-17,120.8,121.48,117.96,121.16,116.45,"13,359,600"
6-May-17,121.37,121.95,119.77,120.83,116.13,"12,001,500"
29-Apr-17,119.04,121.45,118.67,121.35,116.63,"14,797,200"
22-Apr-17,115.99,119.61,115.73,118.99,114.36,"19,451,500"
15-Apr-17,112.53,115.28,112.3,114.99,110.52,"16,923,200"
8-Apr-17,112.99,113.75,111.82,112.09,107.73,"9,357,000"
1-Apr-17,112.28,114.38,111.24,112.99,108.59,"12,355,700"
25-Mar-17,111.08,113.15,110.45,112.21,107.84,"11,712,600"
18-Mar-17,113.4,114.15,111.33,111.8,107.45,"13,294,000"
12-Mar-17,112.56,113.95,111.55,113.45,109.04,"18,716,300"
5-Mar-17,111.83,112.66,107.05,112.14,107.78,"14,951,200"
26-Feb-17,112.59,114.44,112.03,112.34,107.97,"16,748,500"
19-Feb-17,112.19,112.88,111.72,112.46,108.08,"10,732,100"
Dividend,0.66,,,,,
12-Feb-17,111.61,112.33,111.06,112.15,107.15,"13,560,100"
5-Feb-17,109.81,111.73,109.68,111.05,106.1,"14,409,500"
29-Jan-17,109.31,109.91,106.85,109.65,104.76,"19,651,400"
22-Jan-17,110.84,112.51,108.78,109.7,104.81,"17,416,600"
15-Jan-17,109.78,111.6,109.4,110.79,105.85,"10,801,300"
8-Jan-17,112.7,112.7,109.71,110.22,105.3,"12,505,900"
1-Jan-17,110.39,112.83,110,112.55,107.53,"11,797,900"
