TRV,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
12-May-18,131.51,131.77,128.84,129.85,128.32,"5,403,000"
5-May-18,129.64,132.09,127.89,131.25,129.71,"5,590,200"
28-Apr-18,133.88,134.35,125.15,129.71,128.19,"8,995,700"
21-Apr-18,137.09,137.68,130.79,133.19,131.62,"9,548,200"
14-Apr-18,137.55,138.99,135.18,136.84,135.23,"7,715,900"
7-Apr-18,137.76,139.26,135.6,136.29,134.69,"6,129,300"
31-Mar-18,138.52,140.03,132.89,137.25,135.64,"8,115,400"
24-Mar-18,136.57,139.97,135.93,138.86,137.23,"6,043,600"
17-Mar-18,141.29,142.64,134.77,134.9,133.31,"7,849,300"
11-Mar-18,142.79,143.25,139.01,141.32,139.66,"9,121,900"
Dividend,0.72,,,,,
4-Mar-18,138.02,142.43,137.53,142.3,139.9,"8,237,800"
25-Feb-18,140.21,143.41,136.76,137.88,135.55,"9,367,900"
18-Feb-18,140.48,140.92,137.35,139.74,137.38,"6,618,600"
11-Feb-18,137.27,142.24,136.08,141.16,138.78,"8,924,100"
4-Feb-18,146.63,147.88,132.76,137.08,134.77,"17,140,900"
28-Jan-18,149.52,150.55,147.72,147.95,145.45,"10,639,300"
21-Jan-18,137.46,150.19,137.32,149.42,146.9,"15,100,000"
14-Jan-18,135.1,137.99,134.42,137.85,135.52,"6,720,100"
7-Jan-18,132.16,134.99,131.1,134.73,132.46,"7,692,400"
31-Dec-17,136.3,136.3,131.37,132.16,129.93,"6,036,500"
24-Dec-17,134.9,136.49,134.16,135.64,133.35,"3,036,300"
17-Dec-17,135.6,137.29,131.44,134.39,132.12,"5,972,000"
10-Dec-17,133.92,135.35,131.85,134.89,132.61,"8,251,400"
Dividend,0.72,,,,,
3-Dec-17,136.42,137.95,132.81,133.75,130.79,"6,863,200"
26-Nov-17,129.78,136.48,129.66,136.21,133.19,"9,685,800"
19-Nov-17,129.94,131.03,128.79,129.83,126.95,"3,779,300"
12-Nov-17,135.16,135.44,129.72,129.92,127.04,"11,140,700"
4-Nov-17,133.55,135.66,132.44,135.54,132.54,"7,255,000"
28-Oct-17,131.09,135.71,130.8,133.32,130.37,"8,085,300"
21-Oct-17,133.73,134.47,130.05,131.06,128.16,"8,224,600"
14-Oct-17,127.33,134.11,126.9,133.32,130.37,"10,374,300"
7-Oct-17,124.8,127.17,124.35,126.67,123.86,"4,859,700"
30-Sep-17,122.87,125.36,121.72,125.07,122.3,"5,987,300"
23-Sep-17,121.96,123.49,121.55,122.52,119.81,"5,920,500"
16-Sep-17,120.72,122.9,119.9,122.04,119.34,"6,307,100"
9-Sep-17,123.51,126.68,118.75,120.7,118.03,"11,688,300"
Dividend,0.72,,,,,
2-Sep-17,119.01,120.83,113.76,119.76,116.39,"14,148,100"
26-Aug-17,124.92,125.51,119.67,119.9,116.53,"9,063,600"
19-Aug-17,128.07,128.22,125.51,126.47,122.91,"5,501,100"
12-Aug-17,128.33,130.37,127.52,127.89,124.29,"6,517,500"
5-Aug-17,129.27,130.36,128.04,128.18,124.57,"7,612,200"
29-Jul-17,127.51,130,127.34,129.69,126.04,"7,029,400"
22-Jul-17,125.25,128.21,124.86,127.21,123.63,"7,230,400"
15-Jul-17,126.04,126.58,122.89,125.15,121.63,"7,261,700"
8-Jul-17,126.57,126.98,124.35,125.72,122.18,"5,759,000"
1-Jul-17,126.98,128.24,126,127.17,123.59,"4,337,000"
24-Jun-17,127.6,128.43,125.8,126.53,122.97,"6,452,600"
17-Jun-17,129.4,129.49,127.17,127.66,124.07,"6,700,700"
10-Jun-17,125.21,129.6,124.78,129.44,125.8,"8,695,800"
Dividend,0.72,,,,,
3-Jun-17,125,125.74,123.19,125.23,121,"6,328,900"
27-May-17,123.36,125.8,123.16,125.15,120.92,"5,903,000"
20-May-17,120.83,123.94,120.68,123.66,119.48,"6,292,800"
13-May-17,120.57,121.87,119.07,120.79,116.71,"7,438,500"
6-May-17,121.3,121.55,119.63,120.59,116.52,"6,804,400"
29-Apr-17,121.79,121.79,120.1,121.3,117.2,"5,987,300"
22-Apr-17,120.96,122.99,119.76,121.66,117.55,"9,097,500"
15-Apr-17,121.22,121.94,117.34,119.1,115.08,"8,672,400"
8-Apr-17,120.03,121.63,120.01,120.53,116.46,"4,675,400"
1-Apr-17,120.57,121.54,119.8,120.15,116.09,"5,612,000"
25-Mar-17,120.17,121.89,120.01,120.54,116.47,"5,616,100"
18-Mar-17,122.98,122.98,120.24,120.77,116.69,"6,110,900"
12-Mar-17,122.54,123.52,121.75,123.14,118.98,"7,360,700"
Dividend,0.67,,,,,
5-Mar-17,124.03,124.28,121.05,122.83,118.03,"9,374,200"
26-Feb-17,121.86,125.49,121.61,124.13,119.28,"8,544,200"
19-Feb-17,121.81,123.08,121.06,122.27,117.49,"5,262,400"
12-Feb-17,117.37,122,117.29,121.95,117.19,"7,167,200"
5-Feb-17,116.46,120.21,116.46,119.73,115.05,"5,357,200"
29-Jan-17,118.02,118.65,116.25,117.78,113.18,"6,518,800"
22-Jan-17,118.16,119.15,116.16,118.1,113.49,"8,490,000"
15-Jan-17,117.01,118.95,116.62,118.02,113.41,"5,262,400"
8-Jan-17,118.15,118.25,115.88,117.05,112.48,"7,941,600"
1-Jan-17,123.07,123.07,117.28,118.27,113.65,"7,964,400"
